
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2025-12-20 17:50:47 /login ................................................................................... ~ 1s
  2025-12-20 17:50:48 /build/assets/app-8fxRmoI3.css ....................................................... ~ 0.81ms
  2025-12-20 17:50:48 /build/assets/app-CJy8ASEk.js ....................................................... ~ 10.96ms
  2025-12-20 17:50:49 /favicon.ico ......................................................................... ~ 2.44ms
  2025-12-20 17:50:51 /login ................................................................................... ~ 2s
  2025-12-20 17:50:53 /registrations/create .................................................................... ~ 1s
  2025-12-20 17:50:54 /dist/tokens/tokens.css ............................................................ ~ 506.17ms
  2025-12-20 17:50:55 /build/assets/app-8fxRmoI3.css ....................................................... ~ 0.69ms
  2025-12-20 17:50:55 /build/assets/app-CJy8ASEk.js ....................................................... ~ 11.57ms
  2025-12-20 17:50:55 /favicon.ico ....................................................................... ~ 508.97ms
  2025-12-20 17:51:01 /api/brands/3/models ..................................................................... ~ 1s
  2025-12-20 17:51:07 /api/brands/11/models .................................................................... ~ 1s
  2025-12-20 17:51:10 /api/brands/7/models ..................................................................... ~ 1s
  2025-12-20 17:55:58 /dashboard ............................................................................... ~ 2s
  2025-12-20 17:56:00 /dist/tokens/tokens.css .................................................................. ~ 1s
  2025-12-20 17:56:01 /build/assets/app-8fxRmoI3.css ....................................................... ~ 0.89ms
  2025-12-20 17:56:01 /build/assets/app-CJy8ASEk.js ........................................................ ~ 8.58ms
  2025-12-20 17:56:01 /favicon.ico ......................................................................... ~ 0.79ms
  2025-12-20 17:56:10 /thefts .................................................................................. ~ 1s
  2025-12-20 17:56:11 ...................................................................................... ~ 0.66ms
  2025-12-20 17:56:11 /dist/tokens/tokens.css .................................................................. ~ 1s
  2025-12-20 17:56:12 /build/assets/app-8fxRmoI3.css ....................................................... ~ 0.85ms
  2025-12-20 17:56:12 /build/assets/app-CJy8ASEk.js ....................................................... ~ 10.14ms
  2025-12-20 17:56:12 /favicon.ico ......................................................................... ~ 1.03ms
  2025-12-20 17:56:14 / ........................................................................................ ~ 1s
  2025-12-20 17:56:15 /dist/tokens/tokens.css .................................................................. ~ 2s
